filename,width,height,class,xmin,ymin,xmax,ymax
toy24.jpg,500,300,toy,309,56,461,253
toy42.jpg,500,300,toy,137,88,271,221
toy14.jpg,500,300,toy,24,100,272,294
toy77.jpg,500,300,toy,160,38,325,244
toy94.jpg,500,300,toy,172,75,321,220
toy46.jpg,500,300,toy,282,52,437,245
toy89.jpg,500,300,toy,202,50,341,258
toy27.jpg,500,300,toy,179,89,330,250
toy15.jpg,500,300,toy,151,93,274,233
toy5.jpg,500,300,toy,97,49,321,237
toy49.jpg,500,300,toy,197,93,335,238
toy99.jpg,500,300,toy,101,55,254,268
toy38.jpg,500,300,toy,188,81,325,242
toy91.jpg,500,300,toy,157,61,308,234
toy45.jpg,500,300,toy,169,90,315,222
toy55.jpg,500,300,toy,148,24,326,195
toy102.jpg,500,300,toy,162,56,312,224
toy20.jpg,500,300,toy,181,111,307,244
toy50.jpg,500,300,toy,192,79,329,224
toy93.jpg,500,300,toy,273,64,427,266
toy83.jpg,500,300,toy,91,59,325,241
toy39.jpg,500,300,toy,205,88,319,242
toy59.jpg,500,300,toy,160,56,323,230
toy84.jpg,500,300,toy,199,95,327,235
toy101.jpg,500,300,toy,176,93,324,242
toy67.jpg,500,300,toy,195,50,349,226
toy61.jpg,500,300,toy,7,63,246,285
toy74.jpg,500,300,toy,203,77,337,218
toy7.jpg,500,300,toy,215,67,339,211
toy100.jpg,500,300,toy,163,77,314,231
toy26.jpg,500,300,toy,181,84,328,249
toy75.jpg,500,300,toy,1,112,254,295
toy96.jpg,500,300,toy,143,16,304,195
toy52.jpg,500,300,toy,12,105,265,294
toy43.jpg,500,300,toy,203,82,324,224
toy17.jpg,500,300,toy,4,51,263,256
toy33.jpg,500,300,toy,103,54,263,255
toy98.jpg,500,300,toy,117,16,289,201
toy47.jpg,500,300,toy,100,57,262,260
toy21.jpg,500,300,toy,171,84,321,225
toy28.jpg,500,300,toy,40,74,287,269
toy29.jpg,500,300,toy,188,23,409,211
toy6.jpg,500,300,toy,16,65,276,264
toy36.jpg,500,300,toy,14,58,273,259
toy81.jpg,500,300,toy,52,104,296,285
toy103.jpg,500,300,toy,195,73,322,210
toy9.jpg,500,300,toy,296,58,453,258
toy76.jpg,500,300,toy,207,96,321,235
toy70.jpg,500,300,toy,176,110,305,235
toy69.jpg,500,300,toy,177,73,300,208
toy10.jpg,500,300,toy,122,44,277,252
toy40.jpg,500,300,toy,131,56,347,238
toy64.jpg,500,300,toy,145,25,305,211
toy79.jpg,500,300,toy,153,39,310,254
toy54.jpg,500,300,toy,184,38,347,211
toy66.jpg,500,300,toy,46,10,302,214
toy82.jpg,500,300,toy,122,52,294,223
toy23.jpg,500,300,toy,231,44,386,249
toy90.jpg,500,300,toy,140,25,295,201
toy60.jpg,500,300,toy,116,31,287,237
toy62.jpg,500,300,toy,115,48,278,258
toy72.jpg,500,300,toy,48,95,298,279
toy12.jpg,500,300,toy,164,19,326,235
toy57.jpg,500,300,toy,199,47,358,243
toy97.jpg,500,300,toy,147,21,295,197
toy48.jpg,500,300,toy,185,110,315,239
toy80.jpg,500,300,toy,25,74,265,267
toy19.jpg,500,300,toy,191,92,321,235
toy87.jpg,500,300,toy,38,69,285,271
toy95.jpg,500,300,toy,161,62,315,235
toy53.jpg,500,300,toy,177,92,318,227
toy13.jpg,500,300,toy,182,79,319,219
toy32.jpg,500,300,toy,87,56,322,248
toy73.jpg,500,300,toy,109,50,281,251
toy37.jpg,500,300,toy,137,52,285,251
toy30.jpg,500,300,toy,120,34,291,250
toy88.jpg,500,300,toy,163,32,322,214
toy58.jpg,500,300,toy,184,50,334,251
toy86.jpg,500,300,toy,140,42,293,215
toy16.jpg,500,300,toy,185,74,296,227
toy68.jpg,500,300,toy,129,12,294,195
toy71.jpg,500,300,toy,123,49,287,266
toy35.jpg,500,300,toy,159,22,319,200
toy34.jpg,500,300,toy,192,50,319,181
toy51.jpg,500,300,toy,172,60,322,235
toy31.jpg,500,300,toy,211,3,371,227
toy92.jpg,500,300,toy,128,44,303,255
toy56.jpg,500,300,toy,27,71,269,267
toy22.jpg,500,300,toy,161,75,317,233
toy41.jpg,500,300,toy,179,85,331,241
toy11.jpg,500,300,toy,37,67,282,253
toy44.jpg,500,300,toy,28,75,280,267
toy8.jpg,500,300,toy,38,57,278,261
toy25.jpg,500,300,toy,148,66,296,240
toy78.jpg,500,300,toy,40,9,311,189
toy63.jpg,500,300,toy,161,120,301,253
toy18.jpg,500,300,toy,59,42,307,234
toy85.jpg,500,300,toy,219,56,352,202
toy65.jpg,500,300,toy,20,46,277,246
